image,distance,aq_scale,aq_mean,file_size,bpp,dssim,ssimulacra2,encode_ms
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,0.250,0.0422,138942,1.2782,0.000324,88.64,28
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,0.500,0.0843,135583,1.2473,0.000336,88.39,25
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,0.750,0.1265,132388,1.2179,0.000350,88.03,24
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,1.000,0.1686,129410,1.1905,0.000366,87.71,24
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,1.250,0.2108,126436,1.1632,0.000383,87.39,24
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,1.500,0.2529,123649,1.1375,0.000401,87.06,24
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,1.750,0.2951,121285,1.1158,0.000419,86.77,24
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,2.000,0.3373,118764,1.0926,0.000438,86.48,24
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,2.500,0.4216,114016,1.0489,0.000476,85.81,23
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,3.000,0.5059,109632,1.0086,0.000518,85.23,23
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,0.250,0.0422,83717,0.7702,0.000694,83.23,24
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,0.500,0.0843,80886,0.7441,0.000731,82.79,24
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,0.750,0.1265,78421,0.7214,0.000775,82.24,24
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,1.000,0.1686,76203,0.7010,0.000823,81.73,23
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,1.250,0.2108,73889,0.6798,0.000876,81.22,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,1.500,0.2529,71645,0.6591,0.000933,80.64,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,1.750,0.2951,69657,0.6408,0.000986,80.17,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,2.000,0.3373,67708,0.6229,0.001040,79.70,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,2.500,0.4216,64362,0.5921,0.001151,78.75,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,3.000,0.5059,61435,0.5652,0.001262,77.90,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,0.250,0.0454,63550,0.5846,0.001014,80.21,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,0.500,0.0908,61026,0.5614,0.001079,79.61,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,0.750,0.1362,58817,0.5411,0.001154,78.93,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,1.000,0.1815,56808,0.5226,0.001233,78.30,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,1.250,0.2269,54928,0.5053,0.001313,77.65,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,1.500,0.2723,53289,0.4902,0.001398,77.05,23
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,1.750,0.3177,51785,0.4764,0.001480,76.43,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,2.000,0.3631,50426,0.4639,0.001566,75.79,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,2.500,0.4539,47940,0.4410,0.001730,74.61,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,3.000,0.5446,45820,0.4215,0.001892,73.53,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,0.250,0.0498,52096,0.4793,0.001327,77.82,23
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,0.500,0.0997,49989,0.4599,0.001416,77.07,23
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,0.750,0.1495,48149,0.4430,0.001519,76.35,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,1.000,0.1993,46572,0.4284,0.001619,75.61,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,1.250,0.2492,45147,0.4153,0.001726,74.85,21
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,1.500,0.2990,43783,0.4028,0.001839,74.15,21
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,1.750,0.3489,42597,0.3919,0.001941,73.51,21
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,2.000,0.3987,41598,0.3827,0.002041,72.80,21
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,2.500,0.4984,39759,0.3658,0.002242,71.55,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,3.000,0.5980,38160,0.3511,0.002415,70.57,21
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,0.250,0.0593,40288,0.3706,0.002113,71.78,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,0.500,0.1185,38841,0.3573,0.002224,71.11,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,0.750,0.1778,37645,0.3463,0.002347,70.41,21
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,1.000,0.2370,36549,0.3362,0.002474,69.71,23
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,1.250,0.2963,35555,0.3271,0.002599,69.07,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,1.500,0.3555,34650,0.3188,0.002720,68.38,22
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,1.750,0.4148,33805,0.3110,0.002846,67.76,21
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,2.000,0.4741,33073,0.3043,0.002960,67.20,21
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,2.500,0.5926,31774,0.2923,0.003176,66.20,21
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,3.000,0.7111,30826,0.2836,0.003366,65.32,21
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,0.250,0.0615,228520,4.3117,0.000195,90.13,14
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,0.500,0.1230,223769,4.2221,0.000203,89.81,15
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,0.750,0.1844,219456,4.1407,0.000211,89.44,15
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,1.000,0.2459,215383,4.0638,0.000221,89.03,15
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,1.250,0.3074,211709,3.9945,0.000232,88.66,14
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,1.500,0.3689,208164,3.9276,0.000245,88.30,15
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,1.750,0.4304,204872,3.8655,0.000259,87.97,14
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,2.000,0.4919,201543,3.8027,0.000272,87.59,15
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,2.500,0.6148,195913,3.6965,0.000305,86.88,14
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,3.000,0.7378,190869,3.6013,0.000340,86.14,14
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,0.250,0.0615,151746,2.8631,0.000492,86.09,14
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,0.500,0.1230,147891,2.7904,0.000516,85.52,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,0.750,0.1844,144273,2.7221,0.000542,84.92,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,1.000,0.2459,140870,2.6579,0.000574,84.33,14
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,1.250,0.3074,137775,2.5995,0.000609,83.68,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,1.500,0.3689,135112,2.5493,0.000650,82.98,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,1.750,0.4304,132479,2.4996,0.000692,82.27,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,2.000,0.4919,129939,2.4517,0.000737,81.42,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,2.500,0.6148,125184,2.3620,0.000836,79.59,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,3.000,0.7378,120937,2.2818,0.000943,78.20,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,0.250,0.0636,119948,2.2632,0.000839,82.51,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,0.500,0.1273,116529,2.1987,0.000882,81.81,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,0.750,0.1909,113298,2.1377,0.000930,81.19,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,1.000,0.2545,110482,2.0846,0.000985,80.39,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,1.250,0.3182,107872,2.0353,0.001047,79.44,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,1.500,0.3818,105344,1.9876,0.001119,78.29,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,1.750,0.4454,102968,1.9428,0.001197,77.36,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,2.000,0.5091,100717,1.9003,0.001274,76.39,13
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,2.500,0.6364,96401,1.8189,0.001462,74.31,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,3.000,0.7636,92587,1.7469,0.001662,71.36,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,0.250,0.0667,102090,1.9262,0.001228,78.92,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,0.500,0.1334,99138,1.8705,0.001285,78.16,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,0.750,0.2001,96384,1.8186,0.001356,77.18,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,1.000,0.2668,93730,1.7685,0.001443,76.09,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,1.250,0.3335,91335,1.7233,0.001531,75.15,12
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,1.500,0.4001,89017,1.6796,0.001626,74.15,12
