image,distance,mode,file_size,bpp,dssim,rd
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,standard,76203,0.7010,0.000823,0.000577
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,aq025,83717,0.7702,0.000694,0.000535
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,hybrid,86532,0.7961,0.000660,0.000526
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,hybrid_aq025,84509,0.7775,0.000675,0.000525
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,standard,46879,0.4313,0.001601,0.000691
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,aq025,52096,0.4793,0.001327,0.000636
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,hybrid,53495,0.4921,0.001258,0.000619
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,hybrid_aq025,51647,0.4751,0.001302,0.000618
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,standard,140870,2.6579,0.000574,0.001525
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,aq025,151746,2.8631,0.000492,0.001409
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,hybrid,153154,2.8897,0.000483,0.001397
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,hybrid_aq025,149864,2.8276,0.000488,0.001380
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,standard,94222,1.7778,0.001423,0.002529
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,aq025,102090,1.9262,0.001228,0.002365
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,hybrid,102743,1.9385,0.001194,0.002315
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,hybrid_aq025,99873,1.8844,0.001217,0.002293
clic_100a02c269c5948392f283b2aa3bb4da.png,1,standard,112303,2.1070,0.000416,0.000877
clic_100a02c269c5948392f283b2aa3bb4da.png,1,aq025,119462,2.2413,0.000382,0.000855
clic_100a02c269c5948392f283b2aa3bb4da.png,1,hybrid,118421,2.2218,0.000377,0.000837
clic_100a02c269c5948392f283b2aa3bb4da.png,1,hybrid_aq025,116320,2.1824,0.000381,0.000831
clic_100a02c269c5948392f283b2aa3bb4da.png,2,standard,75943,1.4248,0.000938,0.001337
clic_100a02c269c5948392f283b2aa3bb4da.png,2,aq025,80817,1.5163,0.000867,0.001314
clic_100a02c269c5948392f283b2aa3bb4da.png,2,hybrid,80144,1.5036,0.000858,0.001289
clic_100a02c269c5948392f283b2aa3bb4da.png,2,hybrid_aq025,78236,1.4678,0.000868,0.001274
clic_100f17892cf7bb12beb12479641fcc4c.png,1,standard,131851,1.0988,0.000940,0.001033
clic_100f17892cf7bb12beb12479641fcc4c.png,1,aq025,150918,1.2576,0.000645,0.000811
clic_100f17892cf7bb12beb12479641fcc4c.png,1,hybrid,157934,1.3161,0.000570,0.000750
clic_100f17892cf7bb12beb12479641fcc4c.png,1,hybrid_aq025,153400,1.2783,0.000590,0.000754
