image,distance,mode,file_size,bpp,dssim,butteraugli
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,standard,76203,0.7010,0.000823,1.5723
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,hybrid,86532,0.7961,0.000660,1.2866
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,standard,46879,0.4313,0.001601,2.3063
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,hybrid,53495,0.4921,0.001258,1.9846
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,standard,140870,2.6579,0.000574,1.7475
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,hybrid,153154,2.8897,0.000483,1.5019
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,standard,94222,1.7778,0.001423,2.5946
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,hybrid,102743,1.9385,0.001194,2.3996
clic_100a02c269c5948392f283b2aa3bb4da.png,1,standard,112303,2.1070,0.000416,1.4253
clic_100a02c269c5948392f283b2aa3bb4da.png,1,hybrid,118421,2.2218,0.000377,1.6402
clic_100a02c269c5948392f283b2aa3bb4da.png,2,standard,75943,1.4248,0.000938,2.1004
clic_100a02c269c5948392f283b2aa3bb4da.png,2,hybrid,80144,1.5036,0.000858,2.2579
clic_100f17892cf7bb12beb12479641fcc4c.png,1,standard,131851,1.0988,0.000940,1.5753
clic_100f17892cf7bb12beb12479641fcc4c.png,1,hybrid,157934,1.3161,0.000570,1.2747
clic_100f17892cf7bb12beb12479641fcc4c.png,2,standard,79243,0.6604,0.002403,2.2615
clic_100f17892cf7bb12beb12479641fcc4c.png,2,hybrid,97917,0.8160,0.001463,1.8502
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,standard,169619,1.6962,0.000691,1.5348
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,hybrid,198094,1.9809,0.000473,1.4751
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,standard,109952,1.0995,0.001757,2.3964
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,hybrid,129379,1.2938,0.001265,2.2606
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1,standard,293814,2.4942,0.000911,1.5849
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1,hybrid,343175,2.9132,0.000633,1.5719
clic_14ab4af28901fbeb1356b06d2d08ae06.png,2,standard,188034,1.5962,0.002051,2.2661
clic_14ab4af28901fbeb1356b06d2d08ae06.png,2,hybrid,221404,1.8795,0.001493,2.0192
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1,standard,389995,7.3170,0.001059,1.6036
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1,hybrid,519311,9.7432,0.000232,0.7796
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,2,standard,262882,4.9321,0.002089,2.4394
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,2,hybrid,375507,7.0452,0.000705,1.4021
clic_22ea12c903e41583b7c469cb86040157.png,1,standard,127499,1.2750,0.000513,1.6614
clic_22ea12c903e41583b7c469cb86040157.png,1,hybrid,135302,1.3530,0.000483,1.6352
clic_22ea12c903e41583b7c469cb86040157.png,2,standard,82321,0.8232,0.001089,2.4349
clic_22ea12c903e41583b7c469cb86040157.png,2,hybrid,87056,0.8706,0.001013,2.4993
