image,distance,mode,file_size,bpp,dssim
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,standard,129410,1.1905,0.000366
clic_097cb426910ba8ce2525dd8bb7fb1777.png,0.5,hybrid,140340,1.2911,0.000324
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,standard,76203,0.7010,0.000823
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1,hybrid,86532,0.7961,0.000660
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,standard,57007,0.5244,0.001226
clic_097cb426910ba8ce2525dd8bb7fb1777.png,1.5,hybrid,65369,0.6014,0.000960
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,standard,46879,0.4313,0.001601
clic_097cb426910ba8ce2525dd8bb7fb1777.png,2,hybrid,53495,0.4921,0.001258
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,standard,36976,0.3402,0.002430
clic_097cb426910ba8ce2525dd8bb7fb1777.png,3,hybrid,41258,0.3796,0.002164
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,standard,215383,4.0638,0.000221
clic_0c49a5cce349020bbba2f97ae41e90ba.png,0.5,hybrid,230002,4.3397,0.000193
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,standard,140870,2.6579,0.000574
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1,hybrid,153154,2.8897,0.000483
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,standard,110806,2.0907,0.000979
clic_0c49a5cce349020bbba2f97ae41e90ba.png,1.5,hybrid,120738,2.2781,0.000818
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,standard,94222,1.7778,0.001423
clic_0c49a5cce349020bbba2f97ae41e90ba.png,2,hybrid,102743,1.9385,0.001194
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,standard,75709,1.4285,0.002186
clic_0c49a5cce349020bbba2f97ae41e90ba.png,3,hybrid,82008,1.5473,0.001867
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,standard,175092,3.2850,0.000170
clic_100a02c269c5948392f283b2aa3bb4da.png,0.5,hybrid,182537,3.4247,0.000156
clic_100a02c269c5948392f283b2aa3bb4da.png,1,standard,112303,2.1070,0.000416
clic_100a02c269c5948392f283b2aa3bb4da.png,1,hybrid,118421,2.2218,0.000377
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,standard,88370,1.6580,0.000679
clic_100a02c269c5948392f283b2aa3bb4da.png,1.5,hybrid,93184,1.7483,0.000619
clic_100a02c269c5948392f283b2aa3bb4da.png,2,standard,75943,1.4248,0.000938
clic_100a02c269c5948392f283b2aa3bb4da.png,2,hybrid,80144,1.5036,0.000858
clic_100a02c269c5948392f283b2aa3bb4da.png,3,standard,62275,1.1684,0.001449
clic_100a02c269c5948392f283b2aa3bb4da.png,3,hybrid,65055,1.2205,0.001338
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,standard,229496,1.9125,0.000305
clic_100f17892cf7bb12beb12479641fcc4c.png,0.5,hybrid,265065,2.2089,0.000194
clic_100f17892cf7bb12beb12479641fcc4c.png,1,standard,131851,1.0988,0.000940
clic_100f17892cf7bb12beb12479641fcc4c.png,1,hybrid,157934,1.3161,0.000570
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,standard,97810,0.8151,0.001650
clic_100f17892cf7bb12beb12479641fcc4c.png,1.5,hybrid,119570,0.9964,0.000989
clic_100f17892cf7bb12beb12479641fcc4c.png,2,standard,79243,0.6604,0.002403
clic_100f17892cf7bb12beb12479641fcc4c.png,2,hybrid,97917,0.8160,0.001463
clic_100f17892cf7bb12beb12479641fcc4c.png,3,standard,59482,0.4957,0.003901
clic_100f17892cf7bb12beb12479641fcc4c.png,3,hybrid,74327,0.6194,0.002482
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,standard,266542,2.6654,0.000260
clic_11f2b039b293758398b1a7a8afa64bb2.png,0.5,hybrid,300719,3.0072,0.000192
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,standard,169619,1.6962,0.000691
clic_11f2b039b293758398b1a7a8afa64bb2.png,1,hybrid,198094,1.9809,0.000473
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,standard,130712,1.3071,0.001250
clic_11f2b039b293758398b1a7a8afa64bb2.png,1.5,hybrid,153747,1.5375,0.000881
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,standard,109952,1.0995,0.001757
clic_11f2b039b293758398b1a7a8afa64bb2.png,2,hybrid,129379,1.2938,0.001265
clic_11f2b039b293758398b1a7a8afa64bb2.png,3,standard,87060,0.8706,0.002648
clic_11f2b039b293758398b1a7a8afa64bb2.png,3,hybrid,102286,1.0229,0.001919
clic_14ab4af28901fbeb1356b06d2d08ae06.png,0.5,standard,466559,3.9606,0.000359
clic_14ab4af28901fbeb1356b06d2d08ae06.png,0.5,hybrid,530923,4.5070,0.000243
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1,standard,293814,2.4942,0.000911
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1,hybrid,343175,2.9132,0.000633
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1.5,standard,225079,1.9107,0.001483
clic_14ab4af28901fbeb1356b06d2d08ae06.png,1.5,hybrid,264536,2.2456,0.001059
clic_14ab4af28901fbeb1356b06d2d08ae06.png,2,standard,188034,1.5962,0.002051
clic_14ab4af28901fbeb1356b06d2d08ae06.png,2,hybrid,221404,1.8795,0.001493
clic_14ab4af28901fbeb1356b06d2d08ae06.png,3,standard,148103,1.2572,0.003242
clic_14ab4af28901fbeb1356b06d2d08ae06.png,3,hybrid,174143,1.4783,0.002412
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,0.5,standard,579036,10.8637,0.000397
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,0.5,hybrid,680221,12.7621,0.000082
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1,standard,389995,7.3170,0.001059
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1,hybrid,519311,9.7432,0.000232
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1.5,standard,306198,5.7448,0.001621
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,1.5,hybrid,432411,8.1128,0.000453
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,2,standard,262882,4.9321,0.002089
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,2,hybrid,375507,7.0452,0.000705
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,3,standard,219667,4.1213,0.002946
clic_1e2f9d41529197f10d32bfa68a1e0bcc.png,3,hybrid,299583,5.6207,0.001300
clic_22ea12c903e41583b7c469cb86040157.png,0.5,standard,214727,2.1473,0.000224
clic_22ea12c903e41583b7c469cb86040157.png,0.5,hybrid,221116,2.2112,0.000224
clic_22ea12c903e41583b7c469cb86040157.png,1,standard,127499,1.2750,0.000513
