image,encoder,quality,width,height,file_size,bpp,butteraugli,dssim,ssimulacra2
1.png,mozjpeg,25,768,512,25918,0.527303,5.559164,0.00942941,34.2196
1.png,jpegli,25,768,512,45918,0.934204,4.478395,0.00575922,49.3273
1.png,mozjpeg,30,768,512,30278,0.616007,4.910849,0.00744434,41.8419
1.png,jpegli,30,768,512,50247,1.022278,3.932353,0.00493912,54.4470
1.png,mozjpeg,35,768,512,34415,0.700175,4.658359,0.00617885,46.6571
1.png,jpegli,35,768,512,52757,1.073344,3.992757,0.00447624,54.9387
1.png,mozjpeg,40,768,512,38209,0.777364,4.374182,0.00525796,50.9786
1.png,jpegli,40,768,512,55400,1.127116,3.650756,0.00404224,57.2254
1.png,mozjpeg,45,768,512,41775,0.849915,4.162748,0.00457157,54.4194
1.png,jpegli,45,768,512,59019,1.200745,3.628850,0.00358100,60.5973
1.png,mozjpeg,50,768,512,45375,0.923157,3.892031,0.00397006,57.9910
1.png,jpegli,50,768,512,62443,1.270406,3.419864,0.00318686,62.5741
1.png,mozjpeg,55,768,512,49197,1.000916,3.827206,0.00349285,60.3658
1.png,jpegli,55,768,512,66686,1.356730,3.130586,0.00284462,64.7501
1.png,mozjpeg,60,768,512,53195,1.082255,3.723472,0.00309964,62.1410
1.png,jpegli,60,768,512,72604,1.477132,3.092002,0.00237876,67.5790
1.png,mozjpeg,65,768,512,58620,1.192627,3.511430,0.00260236,65.4275
1.png,jpegli,65,768,512,78366,1.594360,2.897806,0.00203294,69.8144
1.png,mozjpeg,70,768,512,64676,1.315837,3.523060,0.00222291,67.7779
1.png,jpegli,70,768,512,86486,1.759562,2.803986,0.00165060,72.6361
1.png,mozjpeg,75,768,512,72721,1.479513,2.965438,0.00174988,71.7441
1.png,jpegli,75,768,512,95631,1.945618,2.685929,0.00132876,75.1377
1.png,mozjpeg,80,768,512,85042,1.730184,2.598183,0.00130473,75.1409
1.png,jpegli,80,768,512,108534,2.208130,2.252903,0.00103568,77.4138
1.png,mozjpeg,85,768,512,100040,2.035319,2.306985,0.00092305,78.5201
1.png,jpegli,85,768,512,126754,2.578817,1.840262,0.00071054,81.4404
1.png,mozjpeg,90,768,512,126159,2.566711,1.781932,0.00054341,83.0177
1.png,jpegli,90,768,512,156508,3.184163,1.505281,0.00042101,85.3199
10.png,mozjpeg,25,512,768,14445,0.293884,6.731478,0.00652332,33.3580
10.png,jpegli,25,512,768,29063,0.591288,4.294243,0.00333928,55.4479
10.png,mozjpeg,30,512,768,16666,0.339071,5.671862,0.00509480,41.3423
10.png,jpegli,30,512,768,31211,0.634989,4.071381,0.00286541,58.8668
10.png,mozjpeg,35,512,768,18912,0.384766,4.867860,0.00410849,48.3145
10.png,jpegli,35,512,768,32459,0.660380,3.762833,0.00257746,60.9123
10.png,mozjpeg,40,512,768,20990,0.427043,4.723878,0.00344779,52.5840
10.png,jpegli,40,512,768,33537,0.682312,4.241604,0.00234103,62.7325
10.png,mozjpeg,45,512,768,22937,0.466654,4.412685,0.00297065,56.0885
10.png,jpegli,45,512,768,35295,0.718079,3.429765,0.00209807,64.9092
10.png,mozjpeg,50,512,768,24958,0.507772,4.696859,0.00255983,59.5429
10.png,jpegli,50,512,768,36674,0.746134,3.248755,0.00186313,67.0118
10.png,mozjpeg,55,512,768,27234,0.554077,4.053643,0.00219490,62.5160
10.png,jpegli,55,512,768,38301,0.779236,3.422314,0.00168148,68.6927
10.png,mozjpeg,60,512,768,29077,0.591573,4.250424,0.00197400,63.9675
10.png,jpegli,60,512,768,41058,0.835327,3.305268,0.00141917,71.3117
10.png,mozjpeg,65,512,768,32234,0.655802,4.546953,0.00164770,67.1547
10.png,jpegli,65,512,768,43633,0.887716,2.856139,0.00125421,72.7927
10.png,mozjpeg,70,512,768,35725,0.726827,3.456595,0.00137484,69.7949
10.png,jpegli,70,512,768,47650,0.969442,2.679178,0.00105405,75.0327
10.png,mozjpeg,75,512,768,40304,0.819987,3.558347,0.00107476,73.6491
10.png,jpegli,75,512,768,52021,1.058370,2.515688,0.00086443,77.0933
10.png,mozjpeg,80,512,768,47942,0.975382,2.964774,0.00081239,76.7452
10.png,jpegli,80,512,768,58632,1.192871,2.371591,0.00068978,79.5045
10.png,mozjpeg,85,512,768,57148,1.162679,2.910014,0.00059809,79.5506
10.png,jpegli,85,512,768,68860,1.400960,1.890231,0.00051497,81.6887
10.png,mozjpeg,90,512,768,75177,1.529480,2.471643,0.00036632,83.4090
10.png,jpegli,90,512,768,88641,1.803406,1.435844,0.00032844,84.9549
11.png,mozjpeg,25,768,512,18106,0.368368,6.414059,0.01208258,28.2335
