image,width,height,pixels,mean_luminance,luminance_variance,luminance_std,edge_strength_mean,edge_strength_max,edge_density,flat_block_pct,low_var_block_pct,mid_var_block_pct,high_var_block_pct,detail_block_pct,block_variance_mean,block_variance_std,color_variance,saturation_mean,saturation_std,high_freq_energy,low_freq_energy,freq_ratio,local_contrast_mean,local_contrast_std,horizontal_complexity,vertical_complexity,diagonal_complexity
1.png,768,512,393216,109.72,1601.92,40.02,29.73,291.34,0.3573,21.57,57.85,36.18,5.92,0.05,630.99,758.24,1601.04,0.2919,0.2047,0.0865,0.6357,0.1360,41.84,33.17,16.68,19.66,23.37
10.png,512,768,393216,121.28,1554.32,39.42,12.88,293.76,0.1010,65.17,87.53,9.77,2.34,0.36,257.70,684.69,1484.00,0.1474,0.0947,0.0266,0.8905,0.0298,17.56,23.37,7.83,8.21,10.46
11.png,768,512,393216,93.01,1738.38,41.69,18.09,343.14,0.1619,54.20,80.26,15.84,3.82,0.08,366.99,684.02,1828.27,0.3134,0.2150,0.0469,0.8269,0.0567,25.57,28.85,10.33,12.12,14.05
12.png,768,512,393216,161.99,2098.04,45.80,11.45,309.89,0.0755,74.82,89.40,5.88,4.51,0.21,256.65,723.75,2091.31,0.2248,0.1102,0.0164,0.9279,0.0177,15.99,21.43,6.02,8.03,9.11
13.png,768,512,393216,107.79,2792.97,52.85,37.88,342.14,0.4414,9.94,56.85,29.38,12.63,1.14,877.16,1109.32,2856.93,0.3423,0.1707,0.1336,0.5227,0.2556,54.32,41.78,21.97,26.03,26.61
14.png,768,512,393216,94.78,2284.46,47.80,22.04,335.01,0.2196,35.09,75.68,20.48,3.65,0.20,427.29,673.15,2411.27,0.3289,0.2517,0.0446,0.7710,0.0578,30.80,28.45,12.54,15.37,16.26
15.png,768,512,393216,108.69,6754.61,82.19,12.58,323.35,0.0960,72.64,87.21,7.93,3.03,1.84,349.56,1053.70,6751.89,0.3757,0.2369,0.0304,0.8501,0.0358,17.44,25.36,8.74,6.96,9.57
16.png,768,512,393216,104.21,1854.72,43.07,13.99,245.67,0.1294,58.85,90.92,8.85,0.23,0.00,172.25,283.69,1812.17,0.1718,0.1019,0.0111,0.8921,0.0125,20.22,20.40,6.59,10.77,10.93
17.png,512,768,393216,77.82,2362.86,48.61,13.98,313.12,0.1121,60.22,84.85,13.56,1.51,0.08,266.16,537.39,2337.07,0.2486,0.1927,0.0270,0.8713,0.0310,19.20,23.73,8.66,9.05,10.70
18.png,512,768,393216,71.91,1487.38,38.57,23.16,319.12,0.2461,38.09,76.94,19.43,2.77,0.86,432.67,825.11,1540.38,0.3916,0.2449,0.0712,0.7025,0.1014,32.62,31.95,15.17,14.29,16.72
19.png,512,768,393216,115.64,2188.63,46.78,19.88,301.73,0.1867,53.45,78.84,14.08,6.66,0.42,458.25,920.52,2274.66,0.2777,0.1931,0.0687,0.7762,0.0885,27.48,32.18,12.92,11.18,16.02
2.png,768,512,393216,79.37,423.19,20.57,11.02,281.25,0.0761,73.50,93.93,5.63,0.33,0.11,127.69,379.82,560.74,0.7815,0.1372,0.0163,0.8845,0.0184,15.99,17.90,6.54,7.17,7.91
20.png,768,512,393216,175.08,7604.96,87.21,11.37,330.17,0.0959,69.38,86.57,8.56,3.73,1.14,326.92,962.03,7802.43,0.2022,0.1857,0.0245,0.8818,0.0278,15.86,28.07,6.55,7.73,8.58
21.png,768,512,393216,115.69,1807.93,42.52,19.54,308.53,0.2106,54.61,73.00,22.28,4.05,0.67,439.34,857.39,2009.24,0.2610,0.1345,0.0469,0.8117,0.0578,27.57,32.95,10.28,14.19,15.10
22.png,768,512,393216,112.46,1676.30,40.94,16.59,318.03,0.1460,53.76,88.38,9.67,1.89,0.07,246.86,506.54,1943.35,0.3312,0.1826,0.0357,0.7857,0.0454,23.41,23.53,10.83,9.99,12.34
23.png,768,512,393216,109.35,2173.53,46.62,9.11,292.78,0.0542,81.05,93.05,4.69,1.97,0.29,168.85,581.83,2919.08,0.4359,0.2501,0.0144,0.9284,0.0155,12.48,20.45,6.00,5.57,6.80
24.png,768,512,393216,108.96,2868.53,53.56,23.05,294.80,0.2404,39.53,76.71,16.03,6.56,0.70,501.00,921.38,2880.25,0.2106,0.1250,0.0806,0.7179,0.1122,31.85,37.37,14.91,13.97,17.06
3.png,768,512,393216,101.91,1555.74,39.44,9.87,279.45,0.0845,72.57,90.53,8.54,0.90,0.03,162.43,406.74,1912.79,0.3872,0.2666,0.0138,0.9142,0.0151,13.61,19.05,5.76,6.75,7.09
